request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_95,12293.69,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553000 request. Although INR 12293.69 is available today, the full amount cannot be completed safely within 90 days."
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. This leaves at least INR 56500 available."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This leaves at least ZAR 29700 available."
request_98,6957.42,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 27148 request. Although ZAR 6957.42 is available today, the full amount cannot be completed safely within 90 days."
request_99,16890.9,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Apply spending changes (reduce event_9232 to ZAR 1065.90), then pay ZAR 18062 today. This leaves at least ZAR 49100 available."
request_100,27631.84,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This leaves at least ZAR 32500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,1095.3,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368300 request. Although INR 1095.30 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 24700 available over the next 90 days.
request_105,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 June 2026. None of the available options keeps the INR 73900 minimum protected.
request_106,440.12,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2207.70 in full. Paying sooner would put the EUR 1200 minimum at risk."
request_107,611.67,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2534.40 request. Although EUR 611.67 is available today, the full amount cannot be completed safely within 90 days."
request_108,1205.51,affordable_later,wait,2026-09-24:55308,2026-09-24,none,"Wait until 24 September 2026, then pay ZAR 55308 in full. Paying sooner would put the ZAR 24100 minimum at risk."
request_109,555.89,not_affordable,not_recommended,none,2024-05-15,none,"Do not proceed with the EUR 1863.40 request. Although EUR 555.89 is available today, the full amount cannot be completed safely within 90 days."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This leaves at least ZAR 11200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,218.08,affordable_with_plan,full_payment,2024-06-05:271.70,2024-08-15,reduce_to:event_10400:13,"Apply spending changes (reduce event_10400 to EUR 13), then pay EUR 271.70 today. This leaves at least EUR 500 available."
request_113,26934.65,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 15 September 2026, then pay INR 36500 in full. Paying sooner would put the INR 82300 minimum at risk."
request_114,60008.81,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Wait until 15 January 2026, then pay INR 65300 in full. Paying sooner would put the INR 113400 minimum at risk."
request_115,14552.2,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 80500 in full. Paying sooner would put the INR 38800 minimum at risk."
request_116,7550.39,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241200 request. Although INR 7550.39 is available today, the full amount cannot be completed safely within 90 days."
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833|reduce_to:event_10878:20.50,"Apply spending changes (stop event_10833 and reduce event_10878 to EUR 20.50), then pay EUR 880 today. This leaves at least EUR 1000 available."
request_118,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 8 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_119,58565.0,not_affordable,not_recommended,none,2025-07-15,none,"Do not proceed with the INR 203500 request. Although INR 58565 is available today, the full amount cannot be completed safely within 90 days."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This leaves at least IDR 12588500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This leaves at least EUR 1600 available."
request_125,5957.4,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,reduce_to:event_11602:223.30,"Apply spending changes (reduce event_11602 to ZAR 223.30), then pay ZAR 6468 today. This leaves at least ZAR 11300 available."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,9846.58,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 15 October 2024, then pay ZAR 23980 in full. Paying sooner would put the ZAR 41000 minimum at risk."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,153.17,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2668.80 request. Although USD 153.17 is available today, the full amount cannot be completed safely within 90 days."
request_130,405.41,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 15 February 2025, then pay USD 1978.80 in full. Paying sooner would put the USD 1400 minimum at risk."
request_131,1160.55,not_affordable,not_recommended,none,2025-06-23,none,"Do not proceed with the USD 1855.20 request. Although USD 1160.55 is available today, the full amount cannot be completed safely within 90 days."
request_132,345.71,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 15 January 2026, then pay USD 379.86 in full. Paying sooner would put the USD 1100 minimum at risk."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with the IDR 15770000 request. Although IDR 15770000 is available today, the full amount cannot be completed safely within 90 days."
request_134,4469014.82,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 15 October 2025, then pay IDR 21831000 in full. Paying sooner would put the IDR 15902500 minimum at risk."
request_135,273.59,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413|reduce_to:event_12458:17.50,"Apply spending changes (stop event_12413 and reduce event_12458 to USD 17.50), then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today. This leaves at least USD 1100 available over the next 90 days.
request_137,30468.28,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 15 January 2026, then pay INR 80100 in full. Paying sooner would put the INR 71800 minimum at risk."
request_138,861.61,affordable_with_plan,partial_payment,2026-04-07:861.61|2026-04-15:395.33,2026-04-15,none,Pay EUR 861.61 today and the remaining EUR 395.33 on 15 April 2026. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1278.14,not_affordable,not_recommended,none,2024-10-15,none,"Do not proceed with the USD 2316 request. Although USD 1278.14 is available today, the full amount cannot be completed safely within 90 days."
request_140,1622.98,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62832 request. Although ZAR 1622.98 is available today, the full amount cannot be completed safely within 90 days."
request_141,21398.42,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171600 request. Although INR 21398.42 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. This leaves at least USD 1700 available over the next 90 days.
request_143,2653.42,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 15 July 2025, then pay ZAR 12584 in full. Paying sooner would put the ZAR 11300 minimum at risk."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 26 May 2024. None of the available options keeps the INR 155400 minimum protected.
request_146,14054.86,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449400 request. Although INR 14054.86 is available today, the full amount cannot be completed safely within 90 days."
request_147,535.96,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7665.48,not_affordable,not_recommended,none,2024-07-15,none,"Do not proceed with the ZAR 22242 request. Although ZAR 7665.48 is available today, the full amount cannot be completed safely within 90 days."
request_149,24545.82,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This leaves at least ZAR 42100 available."
request_150,291.11,not_affordable,not_recommended,none,2026-02-15,none,"Do not proceed with the EUR 496.10 request. Although EUR 291.11 is available today, the full amount cannot be completed safely within 90 days."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,11035.96,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the ZAR 13882 request. Although ZAR 11035.96 is available today, the full amount cannot be completed safely within 90 days."
request_153,84.67,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2830.80 request. Although USD 84.67 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1300 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,9334.86,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 43076 in full. Paying sooner would put the ZAR 26900 minimum at risk."
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 15 May 2024, then pay IDR 23503000 in full. Paying sooner would put the IDR 15714100 minimum at risk."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This leaves at least INR 131400 available."
request_159,3823.31,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13398 request. Although ZAR 3823.31 is available today, the full amount cannot be completed safely within 90 days."
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1200 available."
request_161,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23010400 minimum protected.
request_162,1159061.72,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83923000 request. Although IDR 1159061.72 is available today, the full amount cannot be completed safely within 90 days."
request_163,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26728700 minimum protected.
request_164,25534396.73,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-24,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This leaves at least IDR 29550500 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 95000 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This leaves at least USD 1700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,36227.55,affordable_with_plan,partial_payment,2026-01-07:36227.55|2026-01-15:13152.45,2026-01-15,none,Pay INR 36227.55 today and the remaining INR 13152.45 on 15 January 2026. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,30183194.4,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. This leaves at least IDR 24715800 available."
request_171,30.56,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1878.80 request. Although EUR 30.56 is available today, the full amount cannot be completed safely within 90 days."
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 5 June 2024. This leaves at least ZAR 27200 available."
request_173,56006.44,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 113000 request. Although INR 56006.44 is available today, the full amount cannot be completed safely within 90 days."
request_174,1119.51,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1146.20 request. Although EUR 1119.51 is available today, the full amount cannot be completed safely within 90 days."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,314.87,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1239.70 request. Although EUR 314.87 is available today, the full amount cannot be completed safely within 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This leaves at least EUR 1400 available."
request_179,6458243.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 15 July 2025, then pay IDR 41648000 in full. Paying sooner would put the IDR 41430800 minimum at risk."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,436.32,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5059.20 request. Although USD 436.32 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,23941196.43,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This leaves at least IDR 11878300 available."
request_184,12197.66,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251900 request. Although INR 12197.66 is available today, the full amount cannot be completed safely within 90 days."
request_185,379.69,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 1257.30 in full. Paying sooner would put the EUR 1300 minimum at risk."
request_186,4995.75,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 15 March 2026, then pay ZAR 26554 in full. Paying sooner would put the ZAR 22000 minimum at risk."
request_187,38384.36,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 187500 in full. Paying sooner would put the INR 128300 minimum at risk."
